ordenacao;tempo;quantidade;
Bubble Sort - asc;0.014643430709838867;1000;
Bubble Sort - asc;1.4681694507598877;10000;
Bubble Sort - asc;148.42609810829163;100000;
Optimized Bubble Sort - asc;3.528594970703125e-05;1000;
Optimized Bubble Sort - asc;0.0003814697265625;10000;
Optimized Bubble Sort - asc;0.0030710697174072266;100000;
Selection Sort - asc;0.011025190353393555;1000;
Selection Sort - asc;1.0735094547271729;10000;
Selection Sort - asc;111.27431917190552;100000;
Insertion Sort - asc;5.7697296142578125e-05;1000;
Insertion Sort - asc;0.0005626678466796875;10000;
Insertion Sort - asc;0.005661487579345703;100000;
Merge Sort - asc;0.0014369487762451172;1000;
Merge Sort - asc;0.010382652282714844;10000;
Merge Sort - asc;0.12865614891052246;100000;
Quick Sort - asc;0.0009684562683105469;1000;
Quick Sort - asc;0.029608726501464844;10000;
Quick Sort - asc;2.179774045944214;100000;
Bubble Sort - random;0.024395465850830078;1000;
Bubble Sort - random;2.524824619293213;10000;
Bubble Sort - random;259.8907446861267;100000;
Optimized Bubble Sort - random;0.027096986770629883;1000;
Optimized Bubble Sort - random;2.581404447555542;10000;
Optimized Bubble Sort - random;267.5397152900696;100000;
Selection Sort - random;0.011154651641845703;1000;
Selection Sort - random;1.0840625762939453;10000;
Selection Sort - random;113.25571656227112;100000;
Insertion Sort - random;0.011225223541259766;1000;
Insertion Sort - random;1.1524877548217773;10000;
Insertion Sort - random;118.80385112762451;100000;
Merge Sort - random;0.0009694099426269531;1000;
Merge Sort - random;0.011525869369506836;10000;
Merge Sort - random;0.1493978500366211;100000;
Quick Sort - random;0.0010290145874023438;1000;
Quick Sort - random;0.024253129959106445;10000;
Quick Sort - random;1.5783658027648926;100000;
Bubble Sort - desc;0.032733917236328125;1000;
Bubble Sort - desc;3.3394734859466553;10000;
Bubble Sort - desc;352.0988435745239;100000;
Optimized Bubble Sort - desc;0.03364753723144531;1000;
Optimized Bubble Sort - desc;3.4574625492095947;10000;
Optimized Bubble Sort - desc;362.6858751773834;100000;
Selection Sort - desc;0.011490106582641602;1000;
Selection Sort - desc;1.0733880996704102;10000;
Selection Sort - desc;112.95446443557739;100000;
Insertion Sort - desc;0.023160696029663086;1000;
Insertion Sort - desc;2.2812631130218506;10000;
Insertion Sort - desc;240.17785215377808;100000;
Merge Sort - desc;0.000843048095703125;1000;
Merge Sort - desc;0.009957551956176758;10000;
Merge Sort - desc;0.1234445571899414;100000;
Quick Sort - desc;0.0007872581481933594;1000;
Quick Sort - desc;0.022259235382080078;10000;
Quick Sort - desc;1.5722484588623047;100000;
